label,index,year
radical_chic,14,2017
social_issues,0,2017
politics_and_renewables,3,2017
food_agriculture,6,2017
political_ecology,10,2017
progressive_politics,4,2017
sustainable_industry,15,2017
nature,3,2018
politics_and_renewables,2,2018
developement_goals,5,2018
endangered_habitats,11,2018
food_agriculture,4,2018
vegan,17,2018
innovation,12,2018
sustainable_development,0,2019
greta,1,2019
endangered_habitats,2,2019
renewable_energy,9,2019
developement_goals,15,2019
mixed,12,2019
innovation,3,2019
